country,name,value,fill,sum
NATO,UAVs,0,Other European country,7.3762
Lebanon,AV & Ground systems,0.125,Non-European country,65.5709
Lebanon,Air Defences,0,Non-European country,65.5709
Lebanon,Anti-armour,0,Non-European country,65.5709
Lebanon,"Bombs, Munitions & Projectiles",0,Non-European country,65.5709
Lebanon,C3 & Electronics,0,Non-European country,65.5709
Lebanon,Combat aircraft,0.1,Non-European country,65.5709
Lebanon,"Construction, Logistics & Services",0,Non-European country,65.5709
Lebanon,Helicopters,0,Non-European country,65.5709
Lebanon,Light weapons,0,Non-European country,65.5709
Lebanon,Missiles,0,Non-European country,65.5709
Lebanon,Naval systems,0,Non-European country,65.5709
Lebanon,Radars & sensors,0,Non-European country,65.5709
Lebanon,Rockets/Artillery,0,Non-European country,65.5709
Lebanon,Transport aircraft,0,Non-European country,65.5709
Lebanon,UAVs,0,Non-European country,65.5709
India,AV & Ground systems,0,Non-European country,65.5709
India,Air Defences,0,Non-European country,65.5709
India,Anti-armour,0.045700000000000005,Non-European country,65.5709
India,"Bombs, Munitions & Projectiles",0.0471,Non-European country,65.5709
India,C3 & Electronics,0,Non-European country,65.5709
India,Combat aircraft,0,Non-European country,65.5709
India,"Construction, Logistics & Services",0,Non-European country,65.5709
India,Helicopters,0,Non-European country,65.5709
India,Light weapons,0,Non-European country,65.5709
India,Missiles,0,Non-European country,65.5709
India,Naval systems,0,Non-European country,65.5709
India,Radars & sensors,0.131,Non-European country,65.5709
India,Rockets/Artillery,0,Non-European country,65.5709
India,Transport aircraft,0,Non-European country,65.5709
India,UAVs,0,Non-European country,65.5709
Spain,AV & Ground systems,0,EU Member State,31.2802
Spain,Air Defences,0,EU Member State,31.2802
Spain,Anti-armour,0,EU Member State,31.2802
Spain,"Bombs, Munitions & Projectiles",0,EU Member State,31.2802
Spain,C3 & Electronics,0,EU Member State,31.2802
Spain,Combat aircraft,0,EU Member State,31.2802
Spain,"Construction, Logistics & Services",0.2,EU Member State,31.2802
Spain,Helicopters,0,EU Member State,31.2802
Spain,Light weapons,0,EU Member State,31.2802
Spain,Missiles,0,EU Member State,31.2802
Spain,Naval systems,0,EU Member State,31.2802
Spain,Radars & sensors,0,EU Member State,31.2802
Spain,Rockets/Artillery,0,EU Member State,31.2802
Spain,Transport aircraft,0,EU Member State,31.2802
Spain,UAVs,0,EU Member State,31.2802
